PSCID,DoB,Sex
DCC0061,2019-01-27,Male
OTT337,2019-01-06,Male
OTT347,2018-12-30,Female
OTT339,2019-01-06,Male
OTT346,2018-12-30,Female
0007,2019-01-01,Female
DCCPXNM,2019-01-01,Female
0001,2019-01-01,Female
DCC0055,2019-01-27,Female
DCC0052,2019-01-27,Female
DCCo0zc,2018-12-30,NULL
DCC94,2018-12-30,NULL
DCC0015,2019-01-01,Female
DCCj4vg,2018-12-30,NULL
DCC0023,2019-01-01,Female
OTT357,2018-12-30,Female
OTT359,2018-12-30,Female
DCC0047,2019-01-27,Female
OTT352,2018-12-30,Female
DCCddiw,2018-12-30,NULL
DCC0059,2019-01-28,Male
DCC0020,2019-01-01,Female
DCC0001,2019-01-06,Female
DCC0044,2019-01-27,Female
OTT354,2018-12-30,Female
DCC0022,2019-01-01,Female
DCC0057,2019-01-28,Male
OTT343,2019-01-06,Male
OTT356,2018-12-30,Female
OTT0000,2018-11-04,Female
OTT332,2018-12-30,Female
scanner,NULL,NULL
DCC0021,2019-01-01,Female
scanner,NULL,NULL
DCC0031,2019-01-27,Male
DCCDMQX,2019-01-01,Female
DCC0050,2019-01-27,Female
MTL001,2003-10-31,Male
MTL002,2002-10-02,Male
MTL003,2004-01-31,Male
MTL004,2004-03-08,Male
MTL005,2004-11-28,Male
MTL006,2003-12-04,Male
MTL007,2004-03-20,Male
MTL008,2004-02-22,Male
MTL009,2003-01-06,Male
MTL010,2004-11-10,Male
MTL011,2002-11-23,Male
MTL012,2004-01-17,Male
MTL013,2004-06-16,Male
MTL014,2004-02-04,Male
MTL015,2003-12-17,Male
MTL016,2004-07-04,Male
MTL017,2004-01-02,Male
MTL018,2004-08-17,Male
MTL019,2003-02-07,Male
MTL020,2003-05-17,Male
MTL021,2003-11-07,Male
MTL022,2003-12-06,Male
MTL023,2002-05-19,Male
MTL024,2004-11-17,Male
MTL025,2004-05-16,Male
MTL026,2004-09-17,Male
MTL027,2004-01-15,Male
MTL028,2002-11-08,Male
MTL029,2003-12-08,Male
MTL030,2002-09-19,Male
MTL031,2002-09-13,Male
MTL032,2003-09-16,Male
MTL033,2004-04-23,Male
MTL034,2003-07-26,Male
MTL035,2004-07-11,Male
MTL036,2002-09-21,Male
MTL037,2002-12-31,Male
MTL038,2003-09-02,Male
MTL039,2005-01-11,Male
MTL040,2003-03-13,Male
